DUSKIN 商品牌價總表
資料來源：商品資料庫（設定→商品資料庫）；單價為牌價（每次更換／件），未含任何折扣或加總。

分類,代號,品名,更換週期,單價(NT$),備註
拖把,S-20,業務用握把式抹布,每 2 週,100,
拖把,SHH,家庭用握把式抹布,每 4 週,140,
拖把,NFM-DS,紫色除塵抹布(舊碼),每 2 週,120,舊代號，仍保留供舊資料相容
拖把,NH-S,紫色除塵抹布,每 2 週,120,
拖把,NH-S-4W,紫色除塵抹布 (4W),每 4 週,140,
拖把,SSS-R,SHUSHU抹布,每 2 週,170,
拖把,LALA-R,LALA拖把,每 2 週,190,
拖把,N-AC,業務用除塵大拖把,每 2 週,210,
拖把,M-90,業務用除塵特大拖把,每 2 週,220,
拖把,M-120,業務用除塵超大拖把,每 2 週,280,
拖把,NSAC,業務用除塵拖把,每 2 週,190,
地墊,DECSR,中英歡迎地墊 S 71x85,每 2 週,170,
地墊,DECSLR,中英歡迎地墊 SL 85x120,每 2 週,220,
地墊,DECLR,中英歡迎地墊 L 85x150,每 2 週,280,
地墊,DECLLR,中英歡迎地墊 M 115x180,每 2 週,420,
地墊,DECTR,中英歡迎地墊 T 150x240,每 2 週,720,
地墊,TJSR,豪華地墊 S（紅）,每 2 週,170,
地墊,TJSH,豪華地墊 S（灰）,每 2 週,170,
地墊,2SN2,豪華地墊 S（咖啡）,每 2 週,170,
地墊,TJSLH,豪華地墊 SL 85x120,每 2 週,220,
地墊,TJLH,豪華地墊 L 85x150,每 2 週,280,
地墊,TJSLR,豪華地墊紅 SL 85x120,每 2 週,220,
地墊,2SLN2,豪華地墊咖啡 SL 85x120,每 2 週,220,
地墊,TJLR,豪華地墊紅 L 85x150,每 2 週,280,
地墊,2LN2,豪華地墊咖啡 L 85x150,每 2 週,280,
地墊,TJMH,豪華地墊灰 M 115x180,每 2 週,420,
地墊,TJMR,豪華地墊紅 M 115x180,每 2 週,420,
地墊,2MN2,豪華地墊咖啡 M 115x180,每 2 週,420,
地墊,TJTH,豪華地墊灰 T 150x240,每 2 週,720,
地墊,TJTR,豪華地墊紅 T 150x240,每 2 週,720,
地墊,TJXH,豪華地墊灰 X 115x240,每 2 週,550,
地墊,TJXR,豪華地墊紅 X 115x240,每 2 週,550,
地墊,TJ3H,豪華地墊灰 3M 85x300,每 2 週,610,
地墊,TJ3R,豪華地墊紅 3M 85x300,每 2 週,610,
地墊,TJ5H,豪華地墊灰 5M 85x500,每 2 週,880,
地墊,TJ5R,豪華地墊紅 5M 85x500,每 2 週,880,
地墊,DWSH,吸塵吸水地墊 S（灰）,每 2 週,200,
地墊,DWSR,吸塵吸水地墊 S（紅）,每 2 週,200,
地墊,DWSSH,吸塵吸水地墊 SS,每 2 週,200,
地墊,DWSLH,吸塵吸水地墊 SL,每 2 週,310,
地墊,DWLH,吸塵吸水地墊 L,每 2 週,390,
地墊,DWLLH,吸塵吸水地墊 M 120x180,每 2 週,530,
地墊,DW3MH,吸塵吸水地墊 3M 90x300,每 2 週,680,
地墊,DWSLR,吸塵吸水地墊紅 SL 90x120,每 2 週,310,
地墊,DWTH,吸塵吸水地墊 T 150x240,每 2 週,940,
地墊,DW4MH,吸塵吸水地墊 4M 90x400,每 2 週,830,
地墊,DW5MH,吸塵吸水地墊 5M 90x500,每 2 週,1050,
地墊,FSSK,FOREVER地墊 SS 60x85,每 2 週,140,
地墊,FFSK,FOREVER地墊 S 71x85,每 2 週,170,
地墊,FFSLK,FOREVER地墊 SL 85x120,每 2 週,220,
地墊,FFLK,FOREVER地墊 L 85x150,每 2 週,280,
地墊,FSSR,FOREVER地墊紅 SS 60x85,每 2 週,140,
地墊,FFSR,FOREVER地墊紅 S 71x85,每 2 週,170,
地墊,FFSLR,FOREVER地墊紅 SL 85x120,每 2 週,220,
地墊,FFLR,FOREVER地墊紅 L 85x150,每 2 週,280,
地墊,FFMK,FOREVER地墊 M 115x180,每 2 週,420,
